userID,text,created_at,favorite_count,followers_account,friends_count,location
2472,"@ElishaKrauss ""Bigly"" Drink!",10/19/2016 21:29:35 EDT,1105,542,1627,San Francisco Bay Area
4051,How do we want all students to engage in school? #principallife https://t.co/Ys8HmA7Tbn,10/19/2016 21:29:37 EDT,447,165,170,"Orange County, CA"
22829,RT @JcarriZALES13: Chris Wallace IS THE MAN! #debatenight,10/19/2016 21:29:58 EDT,44318,1674,1435,Michigan
10793,RT @MLBStatoftheDay: Relief pitchers who won an LCS #MVP … there’s only six of them. https://t.co/gnNM1Lzp59 #PrevailingMoments https://t.c…,10/19/2016 21:30:08 EDT,4385,890,1776,"Denver, CO"
2912,"RT @CW_TheFlash: Quick! Stream the latest episode of #TheFlash now, free only on The #CWApp: https://t.co/GMWNQomUBJ https://t.co/u6fp7il0YX",10/19/2016 21:30:11 EDT,434,68129,67556,"Toledo, OH"
17730,@lleeruffin lmao ah well 💅🏾 riri had to almost get speared back in summer 2k11 to find my strength,10/19/2016 21:30:55 EDT,5756,695,546,"college station, Texas"
22829,This election will be talked about for years. It's so baffling.,10/19/2016 21:31:21 EDT,44319,1674,1435,Michigan
2320,RT @vintagobsession: Orange Yellow Brooch - Enamel Flower - 3D 70's Pin.. https://t.co/RdaipAdAVP https://t.co/EjgoPX6w0O,10/19/2016 21:31:46 EDT,1520,665,514,"Las Vegas, NV"
2320,RT @BonheurJour: Marie Brizard Liqueur Bottle. French Ceramic Lady Figurine Decanter. https://t.co/7clFuhDMV0 #voguet #etsychaching,10/19/2016 21:31:52 EDT,1521,665,514,"Las Vegas, NV"
2320,RT @GracesVintage: Victorian or Edwardian Dangle Brooch by GracesVintageGarden https://t.co/FONomq0yl1 via @Etsy #vogueteam https://t.co/tc…,10/19/2016 21:31:56 EDT,1522,665,514,"Las Vegas, NV"
2320,RT @MyVintageJewel: Vintage Leopard Spots Stretch Bracelet and Dangle Pierced Earrings Set Black &amp; Gold Enamel Black Glass Beads… ,10/19/2016 21:32:00 EDT,1523,665,514,"Las Vegas, NV"
8330,No you're the puppet #debatenight,10/19/2016 21:32:03 EDT,409,259,326,minneapolis
17179,RT @itsdougthepug: Doug The Pug for President 🇺🇸,10/19/2016 21:32:08 EDT,498,144,268,"Atlanta, GA"
2320,RT @vintagobsession: White Gloves -  Embroidered Cuffs - Wedding Short Gloves - size 6 1/2.. https://t.co/9mNtbTHKeO https://t.co/9GGrOctMd0,10/19/2016 21:32:09 EDT,1525,665,514,"Las Vegas, NV"
10545,RT @deray: Trump has conveniently forgotten that white people use and sell drugs and that has nothing to do with borders. #Debate,10/19/2016 21:32:11 EDT,1311,452,165,"Tampa, FL"
2320,RT @vintagobsession: Pink Earrings - Plastic Feathery Flower - Rhinestone Centers - 60's Clip On https://t.co/HLHLc6NrF8 https://t.co/xwDrc…,10/19/2016 21:32:12 EDT,1525,665,514,"Las Vegas, NV"
2320,RT @vintagobsession: Celluloid Roses Clamper Set - Rhinestone Covered - Wide Hinged Bangle .. https://t.co/vjLc3gfAtB https://t.co/ptr1yXoI…,10/19/2016 21:32:16 EDT,1527,665,514,"Las Vegas, NV"
2320,RT @GracesVintage: Large Linen and Crochet Bath Towel Damask by GracesVintageGarden https://t.co/BYV1w2oPmn via @Etsy #vogueteam https://t.…,10/19/2016 21:32:19 EDT,1527,665,514,"Las Vegas, NV"
17179,"RT @FillWerrell: Hombres spelled backwards is ""Serbmoh"" which makes no sense just like this election",10/19/2016 21:32:21 EDT,498,144,268,"Atlanta, GA"
2320,RT @vintagobsession: Mexican Motif Tablecloth - Southwest Bold Colors - Cotton - 50's Linens https://t.co/cHGRcQVb5V https://t.co/oTpsgsPzYP,10/19/2016 21:32:23 EDT,1529,665,514,"Las Vegas, NV"
21353,RUSSELL!!!!!,10/19/2016 21:32:24 EDT,9621,1173,341,"Flower Mound, TX"
2320,RT @GracesVintage: Hand Painted Tea Cup Aynsley Art Deco Tea by GracesVintageGarden https://t.co/K1hk6S0Su6 via @Etsy #vogueteam https://t.…,10/19/2016 21:32:26 EDT,1529,665,514,"Las Vegas, NV"
2320,RT @gemsbyjoy: Art Deco Pot Metal Rhinestone Brooch / Multi Color / by JoysShop https://t.co/SSNm9KXArf via @Etsy #vintagejewelry #teamlove…,10/19/2016 21:32:37 EDT,1531,665,514,"Las Vegas, NV"
2472,*Sigh* It started so well... #debate,10/19/2016 21:32:41 EDT,1109,542,1627,San Francisco Bay Area
12416,Amazing birthday dinner for jhay1019!!  Soooo good!!  Put it on your… https://t.co/WWJzNAhCF6,10/19/2016 21:32:50 EDT,10,136,283,"Atlanta, Georgia"
19375,Addison!!!,10/19/2016 21:32:52 EDT,1225,319,525,"Kutztown, PA"
9078,"RT @GeorgeTakei: Here we go again. She's got Trump steamed, and he's turning more orange by the minute.",10/19/2016 21:33:03 EDT,37,3220,663,"Brooklyn, NY"
2912,RT @DCLegendsTV: #LegendsofTomorrow #2.3 Description: “Shogun” https://t.co/tWDQsNlw3S (Spoilers!),10/19/2016 21:33:20 EDT,434,68129,67557,"Toledo, OH"
21353,Lackey almost singled 🙄,10/19/2016 21:33:26 EDT,9621,1173,341,"Flower Mound, TX"
2060,"""What is inflated too much will burst into fragments."" Ethiopian proverb",10/19/2016 21:34:16 EDT,363,272,836,Virginia
6130,"If time heals all wounds, can it be 2020 now? #heartbroken",10/19/2016 21:34:17 EDT,227,419,1227,"Beaumont, Texas"
4513,Enduring Friendships https://t.co/8BkGJvEIti https://t.co/TAPHek4jcZ,10/19/2016 21:34:24 EDT,971,957,570,Northern California
12427,#dailyqotd #stress #postivevibes ❤️🏌️‍♀️ https://t.co/oedutp9pZF,10/19/2016 21:34:24 EDT,291,662,2013,Kansas
4126,"@EricZGuerra thank you for opposing changes to the broadway-stockton special planning district, and for the follow as well",10/19/2016 21:34:28 EDT,586,383,542,"Sacramento, ca"
20189,"""NO, YOU'RE THE PUPPET.""",10/19/2016 21:34:35 EDT,19,159,278,"Menver, CO"
9387,RT @colinrwarner: OK SERIOUSLY WHICH ONE OF YOU IS THE DAMN PUPPET?! #debatenight #debate,10/19/2016 21:34:38 EDT,749,403,420,"Boca Raton, FL"
21353,@jabooindacut @HillaryClinton exposed,10/19/2016 21:34:44 EDT,9621,1173,341,"Flower Mound, TX"
20189,"""Putin is not my best friend."" Hahahaha.",10/19/2016 21:34:55 EDT,19,159,278,"Menver, CO"
12742,@7th_sea you at the grogshop yet,10/19/2016 21:35:05 EDT,354,1815,2041,Cleveland ohio
20217,"She cares more about Russia infiltrating her emails than Libyan terrorists infiltrating a compound in Benghazi. 
#debatenight",10/19/2016 21:35:10 EDT,447,173,313,"Belton, MO"
17730,@lleeruffin you can thank several of your fellow memphians for that 🐸☕️,10/19/2016 21:35:15 EDT,5756,695,546,"college station, Texas"
13869,Wrong,10/19/2016 21:35:15 EDT,844,237,294,Long Island 
4051,A3: I aspire for my Ts to make HW to be nothing more than practice; consequences come when Ts assess and Ss get grades then  #principallife,10/19/2016 21:35:22 EDT,452,165,170,"Orange County, CA"
7296,Addy!!! Welcome to the #NLCS. #GoCubsGo,10/19/2016 21:35:25 EDT,1782,259,1027,"Ankeny, IA "
12427,Did #Trump just said vagina?? #MeantChina 😂 #debate,10/19/2016 21:35:30 EDT,291,662,2013,Kansas
14517,Holy cow...let's go cubbies!!! 🐻⚾,10/19/2016 21:35:36 EDT,224,277,406,Indianapolis
19687,No words can express my feelings.,10/19/2016 21:35:52 EDT,717,212,823,"Louisiana, USA"
20189,"RT @BrodyLogan: Trump says he doesn't know Putin, but explain this Photoshopped image @realDonaldTrump https://t.co/RERQRUhSIW",10/19/2016 21:35:56 EDT,19,159,278,"Menver, CO"
14744,How are you keeping it spooky? #t2tchat https://t.co/edd5Jet1lK,10/19/2016 21:35:57 EDT,5680,1305,1236,Kentucky
18002,RT @TweetLlkeAGuy: When the pre workout kicks in https://t.co/C7efBWq3aa,10/19/2016 21:35:58 EDT,4173,371,374,Virginia Beach
10545,"RT @robinthede: ""No YOU'RE the puppet!"" Geez this 70-year old man sounds like a TODDLER. Somebody get him a binky! #debatenight",10/19/2016 21:36:09 EDT,1313,452,165,"Tampa, FL"
10545,RT @terrance_tweets: This! 👇🏿 https://t.co/EzkS4Rz1ua,10/19/2016 21:36:22 EDT,1314,452,165,"Tampa, FL"
19687,Trying to put myself back together after a heartbreak is probably the hardest thing I'll ever have to do.,10/19/2016 21:36:54 EDT,717,212,823,"Louisiana, USA"
13274,30 minutes in...let's the @realDonaldTrump #spiral begin! #interrupting #makingfaces #debatenight,10/19/2016 21:37:13 EDT,182,212,372,"Durham, North Carolina"
20217,"""You said you dream of a hemispheric market with open trade and borders. Is that your dream? Open trade and borders?""
""RUSSIA"" #debatenight",10/19/2016 21:37:19 EDT,447,173,311,"Belton, MO"
7847,Someone beat Trump with a lead pipe before this #debate...much more subdued this time. Letting Hillary talk.,10/19/2016 21:37:23 EDT,4063,329,596,"St. Cloud, MN"
21192,"RT @ComplexMag: ""bad hombres"" —Donald Trump

#debatenight https://t.co/LvKMgSoUXx",10/19/2016 21:37:30 EDT,4012,578,528,
5023,@AnitaCreamer She is. And it really has come to this.,10/19/2016 21:37:52 EDT,7,127,255,"Delavan, Wiscosnin"
2079,Only hope we have is prayer.  #Debates2016,10/19/2016 21:37:57 EDT,959,41182,34838,"Kansas City, MO"
19687,Somebody please sedate me because I can't take this painful heartbreak,10/19/2016 21:38:09 EDT,717,212,823,"Louisiana, USA"
20500,"RT @sierraclub: Lots of important issues getting covered at #debatenight What about, I don't know, one of the most pressing crises… ",10/19/2016 21:38:10 EDT,45,360,588,"Washington, DC"
22829,"RT @alex_englert: Everyone:""Are you watching the debate tonight?""

Me:""You mean the debate between Max and the Sanderson sisters in Hocus P…",10/19/2016 21:38:12 EDT,44343,1674,1435,Michigan
7048,RT @MaxBlumenthal: First time I've seen Clinton this rattled. The mention of Wikileaks and leaked content rankles her more than Trump's att…,10/19/2016 21:38:25 EDT,469,1856,1954,"Baltimore, MD"
1198,Chris Wallace has a tough job moderating the debate and is doing as well as can be expected,10/19/2016 21:38:29 EDT,161,387,30,"Manassas, VA"
20189,@drewthegirl Ditto. My insides are roiling.,10/19/2016 21:39:10 EDT,19,159,278,"Menver, CO"
7847,"""In the 9th month you can rip the baby out of the womb""--isn't that when babies come due to be born? #debate",10/19/2016 21:39:13 EDT,4069,329,596,"St. Cloud, MN"
18028,"RT @FriendlyAssh0le: AHS is on tonight but so is the presidential debate, so basically there are 2 different American Horror Stories on ton…",10/19/2016 21:39:52 EDT,21600,399,275,
2472,RT @pewresearch: 77% of Americans say being a member of #NATO is good for U.S. https://t.co/xsgKnLmurN #debatenight #debate https://t.co/88…,10/19/2016 21:39:54 EDT,1115,542,1627,San Francisco Bay Area
14192,Terrifying. https://t.co/Zxb86hJ4Sl,10/19/2016 21:40:05 EDT,1112,584,980,"Los Angeles, CA"
8804,Thank you @ArlenesGrocery! See you on 12/21! More info at https://t.co/4GYo1SNPx4 https://t.co/OhrMKnZRbg,10/19/2016 21:40:14 EDT,8,144,275,"New York, NY"
19951,RT @evachen212: As a 1st generation American whose every opportunity has come as a result of my parents moving to the US the idea of walls…,10/19/2016 21:40:29 EDT,667,128,101,Seattle 
4051,"A3 - I wish HW in 7-12 could be like my 3rd grader's: read for 30 min, complete a math game, @michelleciecek  #principallife",10/19/2016 21:40:32 EDT,456,165,170,"Orange County, CA"
2472,RT @RANDCorporation: Expert: To abandon U.S. alliances would not only be more costly but also make America less safe at home. https://t.co/…,10/19/2016 21:40:41 EDT,1116,542,1627,San Francisco Bay Area
14192,#DaneCookforModerator2016 https://t.co/Myzawk95KO,10/19/2016 21:41:13 EDT,1113,584,980,"Los Angeles, CA"
20217,"RT @NRA: Since the NRA's Eddie Eagle program launched in 1988, rate of firearm accident deaths among children ages 0-14 has dropped 85% #de…",10/19/2016 21:41:44 EDT,448,173,311,"Belton, MO"
20247,RT @THROWEDTOBIN: no free beats,10/19/2016 21:41:59 EDT,9261,635,194,"Jacksonville, FL"
20189,"New Trump strategy: instead of answering questions, use my time to talk about how terrible her plan is.",10/19/2016 21:42:05 EDT,19,159,278,"Menver, CO"
19951,RT @NYC_Blonde: #debates https://t.co/F3SUF4eReo,10/19/2016 21:42:05 EDT,667,128,101,Seattle 
4051,So true!  @RealJoeGraham let kids be kids and families have their time! #principallife https://t.co/gNn6cTkuKQ,10/19/2016 21:42:19 EDT,458,165,170,"Orange County, CA"
2992,@KarimTallis hey Tallis. You're on twitter! How are you?,10/19/2016 21:42:24 EDT,204,262,307,"Berkeley, California"
17179,"Clinton: ""Let me translate this...""
Trump: ""You can't""",10/19/2016 21:43:02 EDT,501,144,268,"Atlanta, GA"
10812,RT @kourtneelynne: Think I might be more excited for Boo Zoo than Haylie is👻If only it were socially acceptable for me to walk around… ,10/19/2016 21:43:08 EDT,7,1728,1317,New York
7847,Uh oh...the sniffles are back...gonna get those bad hombres out!...#sniffwhentrumpsniffs #debate,10/19/2016 21:43:09 EDT,4074,328,596,"St. Cloud, MN"
20189,Uhh so becoming an isolationist economy is how we create more jobs?! Pls anyone tell this man America is no longer a manufacturing economy.,10/19/2016 21:43:11 EDT,19,159,278,"Menver, CO"
18776,"Fun fact: you can pay more taxes and still save money if you don't have to pay more for healthcare, college, etc.",10/19/2016 21:43:13 EDT,4296,192,425,"Orono, ME"
9078,😳 #debate https://t.co/MQRCuGC22V,10/19/2016 21:43:22 EDT,37,3220,664,"Brooklyn, NY"
18776,"RT @apunkgrl: trump: hillarys plan sucks 
moderator: whats yours
trump: i have a plan..a good plan..a plan thats good..good for this countr…",10/19/2016 21:43:33 EDT,4296,192,425,"Orono, ME"
18002,"Take a shot every time Trump says something is ""a disaster"" #debatenight",10/19/2016 21:43:37 EDT,4174,371,374,Virginia Beach
10545,"RT @austinchanning: Hillary on economics: education, tech skills, equal wage for women, raising minimum wage... 
Trump: can we talk about s…",10/19/2016 21:43:51 EDT,1316,452,165,"Tampa, FL"
16108,RT @krispekitty: I've never heard anyone say the word hombre unless they were in a bad improv sketch #Debate #badhombres https://t.co/MQM6x…,10/19/2016 21:43:56 EDT,131,133,134,"Fairfax, VA"
21353,@GroomOnFire ?,10/19/2016 21:43:59 EDT,9621,1173,341,"Flower Mound, TX"
10082,Yea the whole gang sliden https://t.co/6jpKBdHEZ7,10/19/2016 21:44:12 EDT,2861,1127,698,"Broward County, Florida "
21353,@BarkovGOAT ✌🏻️,10/19/2016 21:44:17 EDT,9621,1173,341,"Flower Mound, TX"
22362,Vote Penn State for most hype – hit the #BeatOSU button below to cast your @ESPNCFB hype video ballot. #WeAre https://t.co/qcI0H1sYOf,10/19/2016 21:44:18 EDT,2765,285,464,South Bend | State College
11740,"RT @buffalobills: From Clemson, to Chicago, to Buffalo.
Through injury, surgery, recovery.
It's been a long journey.
For Shaq Lawson,… ",10/19/2016 21:44:37 EDT,1902,688,933,"Greensboro, NC"
20189,We are a service economy. Let's discuss how we invest in education and skills training so we don't go backwards &amp; help everyone move forward,10/19/2016 21:44:39 EDT,19,159,278,"Menver, CO"
21353,@GroomOnFire true,10/19/2016 21:44:59 EDT,9621,1173,341,"Flower Mound, TX"
17489,"who said you are one in a million? you are much better then that &lt;3 
#followback #quoteoftheday #quoteofthenight",10/19/2016 21:44:59 EDT,429,2166,2167,Virginia
4592,"RT @BernieSanders: If Trump was really concerned about companies going abroad, maybe he would make his ties in the United States, not China…",10/19/2016 21:45:08 EDT,48,607,1981,Santa Monica
16108,"RT @ABCLiz: Here's Trump's ""bad hombres"" remark (which, btw, has led to a now-trending #badhombres hashtag) https://t.co/8iEJBXsutT",10/19/2016 21:45:10 EDT,131,133,134,"Fairfax, VA"
