handle,text,fav,location,
@RealDonaldTrump,'Happy L\\xe1 Fheile Phadraig to all of my great Irish friends!',69015,None,""
@RealDonaldTrump,"'RT @DiamondandSilk: When the President says ""You\'re Fired""     That means: ""Pack Yo Stuff and Go, Not Say ""You Refuse to Go!  #DrainTheSwam\\u2026'",0,None,""
@RealDonaldTrump,'My representatives had a great meeting w/ the Hispanic Chamber of Commerce at the WH today. Look forward to tremendous growth &amp; future mtgs!',64992,None,""
@RealDonaldTrump,'Great progress on healthcare. Improvements being made - Republicans coming together!',70753,None,""
@RealDonaldTrump,'RT @USHCC: USHCC was delighted to host @IvankaTrump for a roundtable discussion w/ Hispanic women biz owners today in Washington #USHCCLegi\\u2026',0,None,""
@RealDonaldTrump,"'An honor to welcome the Taoiseach of Ireland, @EndaKennyTD to the @WhiteHouse today with @VP Pence. \\U0001f1fa\\U0001f1f8\\U0001f1ee\\U0001f1ea https://t.co/J3iTl2iSiQ'",53279,None,""
@RealDonaldTrump,'A budget that puts #AmericaFirst must make safety its no. 1 priority\\u2014without safety there can be no prosperity: https://t.co/9lxx1iQo7m',69195,None,""
@RealDonaldTrump,"'Thank you Nashville, Tennessee! https://t.co/6snvQ0DzXN'",80990,None,""
@RealDonaldTrump,"'In Nashville, Tennessee! Lets MAKE AMERICA GREAT AGAIN! https://t.co/m5UR4vv6UH'",87153,None,""
@RealDonaldTrump,'Thank you Andrew Jackson! #POTUS7 #USA\\U0001f1fa\\U0001f1f8 https://t.co/GToWsWXiNv',67450,None,""
@RealDonaldTrump,'I will be interviewed by @TuckerCarlson tonight at 9:00 P.M. on @FoxNews. Enjoy!',60536,None,""
@RealDonaldTrump,"CEO's most optimistic since 2009. It will only get better as we continue to slash unnecessary regulations and when we begin our big tax cut!""""""",81426,None,""
@RealDonaldTrump,"'Looking forward to a big rally in Nashville, Tennessee, tonight. Big crowd of great people expected. Will be fun!'",85815,None,""
@RealDonaldTrump,"'Will be going to Detroit, Michigan (love), today for a big meeting on bringing back car production to State &amp; U.S. Already happening!'",90331,None,""
@RealDonaldTrump,"'Can you imagine what the outcry would be if @SnoopDogg, failing career and all, had aimed and fired the gun at President Obama? Jail time!'",128357,None,""
@RealDonaldTrump,"'Does anybody really believe that a reporter, who nobody ever heard of, ""went to his mailbox"" and found my tax returns? @NBCNews  FAKE NEWS!'",103995,None,""
@RealDonaldTrump,'Great optimism in America \\u2013 and the results will be even better! https://t.co/SYBl47CsZn',63644,None,""
@RealDonaldTrump,"'JOBS, JOBS, JOBS! https://t.co/wAkQMKdPXA'",100076,None,""
@RealDonaldTrump,"'Meeting w/ Washington, D.C. @MayorBowser and Metro GM Paul Wiedefeld about incoming winter storm preparations here\\u2026 https://t.co/mg0A4Hq3bD'",48952,None,""
@RealDonaldTrump,'Proud to welcome our great Cabinet this afternoon for our first meeting. Unfortunately 4 seats were empty because S\\u2026 https://t.co/bMYph832hF',72710,None,""
@RealDonaldTrump,'Healthcare listening session w/ @VP &amp; @SecPriceMD. Watch: https://t.co/5ayQ4dr8Ip #ReadTheBill:\\u2026 https://t.co/1cQI0ZBUv8',39282,None,""
@RealDonaldTrump,"'It is amazing how rude much of the media is to my very hard working representatives. Be nice, you will do much better!'",101793,None,""
@RealDonaldTrump,"'RT @AmericaFirstPol: .@POTUS Trump led a historic journey to the White House. 50 days in, that historic journey continues. Take a look \\U0001f449 ht\\u2026'",0,None,""
@RealDonaldTrump,'We are making great progress with healthcare. ObamaCare is imploding and will only get worse. Republicans coming together to get job done!',104932,None,""
@RealDonaldTrump,'Weekly Address - 11:00 A.M. at the @WhiteHouse! #MAGA\\U0001f1fa\\U0001f1f8\\n\\u27a1\\ufe0fhttps://t.co/YSaPJnSX2i https://t.co/Gb8iTGzb6j',43385,None,""
@RealDonaldTrump,"'RT @DRUDGE_REPORT: GREAT AGAIN:  +235,000 https://t.co/GkockGNdtC'",0,None,""
@RealDonaldTrump,"'RT @foxandfriends: ""Never give up....that\'s the worst thing you could do. There\'s always a chance."" -Kyle Coddington\'s message to those als\\u2026'",0,None,""
@RealDonaldTrump,'Honored to meet this years @SenateYouth delegates w/ @VP Pence in the East Room of the @WhiteHouse. Congratulations\\u2026 https://t.co/oQIx7LybCV',57111,None,""
@RealDonaldTrump,"'U.S. Consumer Comfort Just Reached Its Highest Level in a Decade' \\u27a1\\ufe0fhttps://t.co/S8nZgmeMMV https://t.co/xC0piRa6eP""""""",68179,None,""
@RealDonaldTrump,"'Despite what you hear in the press, healthcare is coming along great. We are talking to many groups and it will end in a beautiful picture!'",112721,None,""
@RealDonaldTrump,"RT @foxnation: .@realDonaldTrump's First Full Month in Office Sees Biggest Jobs Gain 'In Years': Report: https://t.co/rx4bgI1MWK""""""",0,None,""
@RealDonaldTrump,"'Great news. We are only just beginning. Together, we are going to #MAGA! https://t.co/BSp685Q9Qf https://t.co/K7yeBZsf6r'",91116,None,""
@RealDonaldTrump,'Met with @RepCummings today at the @WhiteHouse. Great discussion!',54808,None,""
@RealDonaldTrump,'LinkedIn Workforce Report: January and February were the strongest consecutive months for hiring since August and September 2015',86041,None,""
@RealDonaldTrump,'I have tremendous respect for women and the many roles they serve that are vital to the fabric of our society and our economy.',122473,None,""
@RealDonaldTrump,'I feel sure that my friend @RandPaul will come along with the new and great health care program because he knows Obamacare is a disaster!',82573,None,""
@RealDonaldTrump,'I am working on a new system where there will be competition in the Drug Industry. Pricing for the American people will come way down!',126010,None,""
@RealDonaldTrump,"'For eight years Russia ""ran over"" President Obama, got stronger and stronger, picked-off Crimea and added missiles. Weak! @foxandfriends'",79955,None,""
@RealDonaldTrump,'Our wonderful new Healthcare Bill is now out for review and negotiation. ObamaCare is a complete and total disaster - is imploding fast!',82580,None,""
@RealDonaldTrump,"'122 vicious prisoners, released by the Obama Administration from Gitmo, have returned to the battlefield. Just another terrible decision!'",93985,None,""
@RealDonaldTrump,"'Thank you to @exxonmobil for your $20 billion investment that is creating more than 45,000 manufacturing &amp; construction jobs in the USA!'",100785,None,""
@RealDonaldTrump,"'Buy American &amp; hire American are the principles at the core of my agenda, which is: JOBS, JOBS, JOBS! Thank you @exxonmobil.'",88352,None,""
@RealDonaldTrump,"There is an incredible spirit of optimism sweeping the country right now\\u2014we're bringing back the JOBS! https://t.co/BNSLvKiEVj""""""",109945,None,""
@RealDonaldTrump,"'45,000 construction &amp; manufacturing jobs in the U.S. Gulf Coast region. $20 billion investment. We are already winning again, America!'",118365,None,""
@RealDonaldTrump,"'President Trump Congratulates Exxon Mobil for Job-Creating Investment Program'\\nhttps://t.co/adBzWhtq8S""""""",71574,None,""
@RealDonaldTrump,'Thank you for the great rallies all across the country. Tremendous support. Make America Great Again!',174732,None,""
@RealDonaldTrump,"'Who was it that secretly said to Russian President, ""Tell Vladimir that after the election I\'ll have more flexibility?"" @foxandfriends'",127872,None,""
@RealDonaldTrump,'Is it true the DNC would not allow the FBI access to check server or other equipment after learning it was hacked? Can that be possible?',97714,None,""
@RealDonaldTrump,'How low has President Obama gone to tapp my phones during the very sacred election process. This is Nixon/Watergate. Bad (or sick) guy!',164760,None,""
@RealDonaldTrump,"'Is it legal for a sitting President to be ""wire tapping"" a race for president prior to an election? Turned down by court earlier. A NEW LOW!'",125353,None,""
@RealDonaldTrump,"'Just out: The same Russian Ambassador that met Jeff Sessions visited the Obama White House 22 times, and 4 times last year alone.'",122867,None,""
@RealDonaldTrump,"'Terrible! Just found out that Obama had my ""wires tapped"" in Trump Tower just before the victory. Nothing found. This is McCarthyism!'",145604,None,""
@RealDonaldTrump,'The first meeting Jeff Sessions had with the Russian Amb was set up by the Obama Administration under education program for 100 Ambs......',89397,None,""
@RealDonaldTrump,'MAKE AMERICA GREAT AGAIN! https://t.co/kuQiZDz4rA',123906,None,""
@RealDonaldTrump,"'I hereby demand a second investigation, after Schumer, of Pelosi for her close ties to Russia, and lying about it. https://t.co/qCDljfF3wN'",123611,None,""
@RealDonaldTrump,'We must fix our education system for our kids to Make America Great Again. Wonderful day at Saint Andrew in Orlando. https://t.co/OTJaHcvLzf',84235,None,""
@RealDonaldTrump,'We should start an immediate investigation into @SenSchumer and his ties to Russia and Putin. A total hypocrite! https://t.co/Ik3yqjHzsA',152102,None,""
@RealDonaldTrump,'Weekly Address\\nJoin me here: https://t.co/SEavQK5zy5 https://t.co/EnyXYeqgcp',54741,None,""
@RealDonaldTrump,'It is so pathetic that the Dems have still not approved my full Cabinet.',138779,None,""
@RealDonaldTrump,"'Nick Adams new book, Green Card Warrior, is a must read. The merit-based system is the way to go. Canada, Australia! @foxandfriends'",67527,None,""
@RealDonaldTrump,"'...is all of the illegal leaks of classified and other information. It is a total ""witch hunt!""'",94573,None,""
@RealDonaldTrump,"'...to win. The Democrats are overplaying their hand. They lost the election, and now they have lost their grip on reality. The real story...'",111475,None,""
@RealDonaldTrump,'...intentional. This whole narrative is a way of saving face for Democrats losing an election that everyone thought they were supposed.....',91681,None,""
@RealDonaldTrump,"'Jeff Sessions is an honest man. He did not say anything wrong. He could have stated his response more accurately, but it was clearly not....'",103835,None,""
@RealDonaldTrump,"'Since November 8th, Election Day, the Stock Market has posted $3.2 trillion in GAINS and consumer confidence is at a 15 year high. Jobs!'",177879,None,""
@RealDonaldTrump,'THANK YOU!',186765,None,""
@RealDonaldTrump,'#JointSession #MAGA\\U0001f1fa\\U0001f1f8\\nhttps://t.co/RDO6Jt2pip',64547,None,""
@RealDonaldTrump,'Join me live at 9:00 P.M. \\n#JointAddress https://t.co/J882zbyVkJ https://t.co/gTtK3vJmkU',55529,None,""
@RealDonaldTrump,'I will be interviewed on @foxandfriends at 6:00 A.M. Enjoy!',84006,None,""
@RealDonaldTrump,"'GOP now viewed more favorably than Dems, in Trump era (per NBC/WSJ poll) via @HotlineJosh:\\nhttps://t.co/Soebxtg2Zd'",71542,None,""
@RealDonaldTrump,'Great meeting with CEOs of leading U.S. health insurance companies who provide great healthcare to the American peo\\u2026 https://t.co/60jigi6ffS',90732,None,""
@RealDonaldTrump,"'Big dinner with Governors tonight at White House. Much to be discussed, including healthcare.'",107456,None,""
@RealDonaldTrump,"'Russia talk is FAKE NEWS put out by the Dems, and played up by the media, in order to mask the big election defeat and the illegal leaks!'",114965,None,""
@RealDonaldTrump,'For first time the failing @nytimes will take an ad (a bad one) to help save its failing reputation. Try reporting accurately &amp; fairly!',111101,None,""
@RealDonaldTrump,"'The race for DNC Chairman was, of course, totally ""rigged."" Bernie\'s guy, like Bernie himself, never had a chance. Clinton demanded Perez!'",88546,None,""
@RealDonaldTrump,"'Congratulations to Thomas Perez, who has just been named Chairman of the DNC. I could not be happier for him, or for the Republican Party!'",132684,None,""
@RealDonaldTrump,"I will not be attending the White House Correspondents' Association Dinner this year. Please wish everyone well and have a great evening!""""""",125916,None,""
@RealDonaldTrump,'Weekly Address from @WhiteHouse: https://t.co/uaoQSHBOQB https://t.co/7eF6aC6kEC',46438,None,""
@RealDonaldTrump,"'Great optimism for future of U.S. business, AND JOBS, with the DOW having an 11th straight record close. Big tax &amp; regulation cuts coming!'",105455,None,""
@RealDonaldTrump,'The media has not reported that the National Debt in my first month went down by $12 billion vs a $200 billion increase in Obama first mo.',203647,None,""
@RealDonaldTrump,'Maybe the millions of people who voted to MAKE AMERICA GREAT AGAIN should have their own rally. It would be the biggest of them all!',160841,None,""
@RealDonaldTrump,"FAKE NEWS media knowingly doesn't tell the truth. A great danger to our country. The failing @nytimes has become a joke. Likewise @CNN. Sad!""""""",110480,None,""
@RealDonaldTrump,"Trump vows to fight 'epidemic' of human trafficking \\nhttps://t.co/oDLZ2NdrtA""""""",92283,None,""
@RealDonaldTrump,'Going to CPAC!',72828,None,""
@RealDonaldTrump,'find the leakers within the FBI itself. Classified information is being given to media that could have a devastating effect on U.S. FIND NOW',102019,None,""
@RealDonaldTrump,"'The FBI is totally unable to stop the national security ""leakers"" that have permeated our government for a long time. They can\'t even......'",81438,None,""
@RealDonaldTrump,'Big interview tonight by Henry Kravis at The Business Council of Washington. Looking forward to it!',58989,None,""
@RealDonaldTrump,'Seven people shot and killed yesterday in Chicago. What is going on there - totally out of control. Chicago needs help!',109890,None,""
@RealDonaldTrump,"'S&amp;P 500 Edges Higher After Trump Renews Jobs Pledge' https://t.co/WtrRJVFmvU""""""",57022,None,""
@RealDonaldTrump,"Very much enjoyed my tour of the Smithsonian's National Museum of African American History and Culture...A great job done by amazing people!""""""",118222,None,""
@RealDonaldTrump,"'One thing I will say about Rep. Keith Ellison, in his fight to lead the DNC, is that he was the one who predicted early that I would win!'",80469,None,""
@RealDonaldTrump,"'The so-called angry crowds in home districts of some Republicans are actually, in numerous cases, planned out by liberal activists. Sad!'",120030,None,""
@RealDonaldTrump,"'Americans overwhelmingly oppose sanctuary cities' https://t.co/s5QvsJWA6u""""""",108535,None,""
@RealDonaldTrump,"'Congratulations to our new National Security Advisor, General H.R. McMaster. Video: https://t.co/BKn9r225Kk https://t.co/VBXcJ1b6Pv'",95357,None,""
@RealDonaldTrump,'Just named General H.R. McMaster National Security Advisor.',107844,None,""
@RealDonaldTrump,'HAPPY PRESIDENTS DAY - MAKE AMERICA GREAT AGAIN!',245881,None,""
@RealDonaldTrump,'Give the public a break - The FAKE NEWS media is trying to say that large scale immigration in Sweden is working out just beautifully. NOT!',143348,None,""
@RealDonaldTrump,"My statement as to what's happening in Sweden was in reference to a story that was broadcast on @FoxNews concerning immigrants &amp; Sweden.""""""",114030,None,""
@RealDonaldTrump,"'Will be having many meetings this weekend at The Southern White House. Big 5:00 P.M. speech in Melbourne, Florida. A lot to talk about!'",100727,None,""
@RealDonaldTrump,"Don't believe the main stream (fake news) media.The White House is running VERY WELL. I inherited a MESS and am in the process of fixing it.""""""",188796,None,""
@RealDonaldTrump,'Looking forward to the Florida rally tomorrow. Big crowd expected!',100528,None,""
@RealDonaldTrump,"'""One of the most effective press conferences I\'ve ever seen!"" says Rush Limbaugh. Many agree.Yet FAKE MEDIA  calls it differently! Dishonest'",122025,None,""
@RealDonaldTrump,"'The FAKE NEWS media (failing @nytimes, @NBCNews, @ABC, @CBS, @CNN) is not my enemy, it is the enemy of the American People!'",162590,None,""
@RealDonaldTrump,'Join me at 11:00am:\\nWatch here: https://t.co/veqKmsGAwf https://t.co/UzndIjIqjM',57446,None,""
@RealDonaldTrump,"'General Keith Kellogg, who I have known for a long time, is very much in play for NSA - as are three others.'",70688,None,""
@RealDonaldTrump,'Thank you for all of the nice statements on the Press Conference yesterday. Rush Limbaugh said one of greatest ever. Fake media not happy!',152928,None,""
@RealDonaldTrump,"'Going to Charleston, South Carolina, in order to spend time with Boeing and talk jobs! Look forward to it.'",100494,None,""
@RealDonaldTrump,"'Despite the long delays by the Democrats in finally approving Dr. Tom Price, the repeal and replacement of ObamaCare is moving fast!'",104398,None,""
@RealDonaldTrump,"'Trump signs bill undoing Obama coal mining rule' https://t.co/yMfT5r5RGh""""""",95033,None,""
@RealDonaldTrump,"'The Democrats had to come up with a story as to why they lost the election, and so badly (306), so they made up a story - RUSSIA. Fake news!'",122964,None,""
@RealDonaldTrump,"'FAKE NEWS media, which makes up stories and ""sources,"" is far more effective than the discredited Democrats - but they are fading fast!'",100788,None,""
@RealDonaldTrump,'The spotlight has finally been put on the low-life leakers! They will be caught!',127985,None,""
@RealDonaldTrump,"'Leaking, and even illegal classified leaking, has been a big problem in Washington for years. Failing @nytimes (and others) must apologize!'",91025,None,""
@RealDonaldTrump,'Stock market hits new high with longest winning streak in decades. Great level of confidence and optimism - even before tax plan rollout!',129482,None,""
@RealDonaldTrump,"'Venezuela should allow Leopoldo Lopez, a political prisoner &amp; husband of @liliantintori (just met w/ @marcorubio) o\\u2026 https://t.co/HhgE51dtSN'",110239,None,""
@RealDonaldTrump,"Aetna CEO: Obamacare in 'Death Spiral' #RepealAndReplace \\nhttps://t.co/dmHL7xIEQv""""""",59556,None,""
@RealDonaldTrump,'Join me in Florida this Saturday at 5pm for a rally at the Orlando-Melbourne International Airport!\\nTickets:\\u2026 https://t.co/OigfXFECPp',73207,None,""
@RealDonaldTrump,"'Welcome to the United States, @IsraeliPM Benjamin &amp; Sara!\\n#ICYMI\\U0001f1fa\\U0001f1f8\\U0001f1ee\\U0001f1f1Joint Press Conference: \\nhttps://t.co/GN6ALWUusN https://t.co/bH60nBL5FP'",75492,None,""
@RealDonaldTrump,"Great listening session with CEO's of the Retail Industry Leaders Association this morning! https://t.co/sy6xJcWfcF""""""",66991,None,""
@RealDonaldTrump,"'The real scandal here is that classified information is illegally given out by ""intelligence"" like candy. Very un-American!'",128393,None,""
@RealDonaldTrump,'Crimea was TAKEN by Russia during the Obama Administration. Was Obama too soft on Russia?',102208,None,""
@RealDonaldTrump,"'Thank you to Eli Lake of The Bloomberg View - ""The NSA &amp; FBI...should not interfere in our politics...and is"" Very serious situation for USA'",78865,None,""
@RealDonaldTrump,'Information is being illegally given to the failing @nytimes &amp; @washingtonpost by the intelligence community (NSA and FBI?).Just like Russia',81607,None,""
@RealDonaldTrump,"This Russian connection non-sense is merely an attempt to cover-up the many mistakes made in Hillary Clinton's losing campaign.""""""",119660,None,""
@RealDonaldTrump,'The fake news media is going crazy with their conspiracy theories and blind hatred. @MSNBC &amp; @CNN are unwatchable. @foxandfriends is great!',105972,None,""
@RealDonaldTrump,"'Obamacare continues to fail. Humana to pull out in 2018. Will repeal, replace &amp; save healthcare for ALL Americans. \\nhttps://t.co/glWEQ0lNR4'",89133,None,""
@RealDonaldTrump,"'Remarks by President Trump at Signing of H.J. Resolution 41'\\nhttps://t.co/Q3MoCGAc54 https://t.co/yGDDTKm9Br""""""",46701,None,""
@RealDonaldTrump,'Great parent-teacher listening session this morning with @VP Pence &amp; @usedgov Secretary @BetsyDeVos. Watch:\\u2026 https://t.co/nuLTs513Ot',59793,None,""
@RealDonaldTrump,'The real story here is why are there so many illegal leaks coming out of Washington? Will these leaks be happening as I deal on N.Korea etc?',112991,None,""
@RealDonaldTrump,'Congratulations to our new #VASecretary Dr. David Shulkin. Time to take care of Veterans who have fought to protect\\u2026 https://t.co/FNewjbHuw4',92061,None,""
@RealDonaldTrump,'Congratulations Treasury Secretary Steven Mnuchin! #ICYMI- watch here: https://t.co/RPsmw4yD7y https://t.co/K8tWLlXiYK',64794,None,""
@RealDonaldTrump,"Wonderful meeting with Canadian PM @JustinTrudeau and a group of leading CEO's &amp; business women from Canada\\U0001f1e8\\U0001f1e6and th\\u2026 https://t.co/wAoCOaYeZ6""""""",86507,None,""
@RealDonaldTrump,'Welcome to the @WhiteHouse Prime Minister @JustinTrudeau! https://t.co/WKgF8Zo9ri',85873,None,""
@RealDonaldTrump,'Today I will meet with Canadian PM Trudeau and a group of leading business women to discuss women in the workforce. https://t.co/bFAHPRXHdP',75290,None,""
@RealDonaldTrump,'Just leaving Florida. Big crowds of enthusiastic supporters lining the road that the FAKE NEWS media refuses to mention. Very dishonest!',143466,None,""
@RealDonaldTrump,'Congratulations Stephen Miller- on representing me this morning on the various Sunday morning shows. Great job!',104416,None,""
@RealDonaldTrump,"I know Mark Cuban well. He backed me big-time but I wasn't interested in taking all of his calls.He's not smart enough to run for president!""""""",83540,None,""
@RealDonaldTrump,"'After two days of very productive talks, Prime Minister Abe is heading back to Japan. L'",84027,None,""
@RealDonaldTrump,"'While on FAKE NEWS @CNN, Bernie Sanders was cut off for using the term fake news to describe the network. They said technical difficulties!'",114799,None,""
@RealDonaldTrump,"'72% of refugees admitted into U.S. (2/3 -2/11) during COURT BREAKDOWN are from 7 countries: SYRIA, IRAQ, SOMALIA, IRAN, SUDAN, LIBYA &amp; YEMEN'",81725,None,""
@RealDonaldTrump,"'The crackdown on illegal criminals is merely the keeping of my campaign promise. Gang members, drug dealers &amp; others are being removed!'",150590,None,""
@RealDonaldTrump,'#ICYMI: Joint Statement with Prime Minister Shinzo Abe on North Korea. https://t.co/qEC87FKB1D',63199,None,""
@RealDonaldTrump,'RT @Scavino45: LIVE Joint Statement by President Trump and Prime Minister Shinzo Abe: https://t.co/c3Fe5cUaaS',0,None,""
@RealDonaldTrump,"'A working dinner tonight with Prime Minister Abe of Japan, and his representatives, at the Winter White House (Mar-a-Lago). Very good talks!'",98904,None,""
@RealDonaldTrump,"'Played golf today with Prime Minister Abe of Japan and @TheBig_Easy, Ernie Els, and had a great time. Japan is very well represented!'",85333,None,""
@RealDonaldTrump,"'I am so proud of my daughter Ivanka. To be abused and treated so badly by the media, and to still hold her head so high, is truly wonderful!'",210007,None,""
@RealDonaldTrump,'Having a great time hosting Prime Minister Shinzo Abe in the United States! \\nhttps://t.co/Fvjsac89qS\\u2026 https://t.co/hKqbMB2aQ9',93587,None,""
@RealDonaldTrump,"'Melania and I are hosting Japanese Prime Minister Shinzo Abe and Mrs. Abe at Mar-a-Lago in Palm Beach, Fla. They are a wonderful couple!'",121809,None,""
@RealDonaldTrump,"'...design or negotiations yet. When I do, just like with the F-35 FighterJet or the Air Force One Program, price will come WAY DOWN!'",84966,None,""
@RealDonaldTrump,"'I am reading that the great border WALL will cost more than the government originally thought, but I have not gotten involved in the.....'",78206,None,""
@RealDonaldTrump,"'Our legal system is broken! ""77% of refugees allowed into U.S. since travel reprieve hail from seven suspect countries."" (WT)  SO DANGEROUS!'",102555,None,""
@RealDonaldTrump,'Heading to Joint Base Andrews on #MarineOne with Prime Minister Shinz\\u014d earlier today. https://t.co/4JFhyYdeHO',163002,None,""
@RealDonaldTrump,"'The failing @nytimes does major FAKE NEWS China story saying ""Mr.Xi has not spoken to Mr. Trump since Nov.14."" We spoke at length yesterday!'",108574,None,""
@RealDonaldTrump,"'LAWFARE: ""Remarkably, in the entire opinion, the panel did not bother even to cite this (the) statute."" A disgraceful decision!'",90518,None,""
@RealDonaldTrump,"'SEE YOU IN COURT, THE SECURITY OF OUR NATION IS AT STAKE!'",239736,None,""
@SenJohnMcCain,"'Speaking on Senate floor shortly to urge my colleagues to vote ""yes"" on #Montenegro accession to #NATO - watch: https://t.co/sPARq0MhNi'",128,None,""
@SenJohnMcCain,"'Appreciate @SenateMajLdr urging Senate to vote ""yes"" on #Montenegro accession to #NATO https://t.co/kzXnA6RrKW'",110,None,""
@SenJohnMcCain,"Protests across #Russia this wkend imp't demonstration against tyranny &amp; corruption of #Putin regime https://t.co/O9dnqBtoeJ""""""",575,None,""
